age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
48,Private,187715,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1848,46,United-States,1
31,Private,379798,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
32,?,318647,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,,0,48,United-States,1
20,Private,199011,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,12,United-States,0
24,State-gov,249385,Bachelors,13,Never-married,Adm-clerical,Other-relative,White,Female,0,0,10,United-States,0
35,Private,275364,Bachelors,13,Divorced,Tech-support,Unmarried,White,Male,7430,0,40,Germany,0
30,Private,169002,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,1
55,Private,172666,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
25,Private,180778,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,75,United-States,0
40,Private,244172,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
45,Federal-gov,102569,?,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,,40,United-States,1
19,Private,39026,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,30,United-States,0
22.96121865,Local-gov,216716.2091,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0.592555308,-0.035143579,17.44587591,United-States,0
37,Private,290609,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,0
28,?,214385,Assoc-voc,11,Never-married,Exec-managerial,Own-child,Black,Female,,0,40,United-States,0
21,Private,60668,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,50,United-States,0
47,Private,274200,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,United-States,0
22,Private,291386,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
26.08501138,Private,240830.5035,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,6515.307653,-0.008585202,35.69932844,United-States,1
43.13769658,Private,113928.9248,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,2791.827543,0.661369463,12.31645306,United-States,0
38,Private,33975,HS-grad,9,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,0,40,United-States,1
40,Private,118853,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,0
32,Private,386806,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,45,Mexico,1
47,Local-gov,134671,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
39,Self-emp-not-inc,34066,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0,0,50,United-States,1
,?,23157,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,50,United-States,1
23,Private,96748,Bachelors,13,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,0
23.30827765,Local-gov,187648.4529,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,-0.904891926,-0.968108288,38.57562507,United-States,0
54,Private,144586,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,1
30.44339847,Private,221427.5759,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,-0.100475721,-0.057390703,43.69495077,United-States,0
,Private,197613,HS-grad,9,?,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,1
43.1520154,Private,309185.221,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,87624.68567,0.33260751,48.39815265,United-States,1
44,Private,211351,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,4386,0,40,United-States,0
57,Self-emp-inc,37394,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
34,Private,106014,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,1
24,Private,161638,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,0,0,40,Ecuador,0
24,Private,196816,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,3908,0,40,United-States,1
40,Private,202872,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,1
22.54727669,Private,361397.9324,11th,7,Never-married,Sales,Own-child,White,Male,1.602211389,-0.69728368,21.21478176,United-States,0
35,Private,154410,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States,0
39,Private,177277,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,0
53,Private,289620,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,?,0
52,Private,279543,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,Cuba,1
53,Private,126977,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,0
45,Federal-gov,380127,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
,Private,607848,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,7688,0,45,?,1
,Private,279340,11th,7,Separated,?,Not-in-family,Black,Female,0,0,40,United-States,0
43,Self-emp-inc,,Bachelors,13,Divorced,Farming-fishing,Not-in-family,?,Male,0,0,35,United-States,0
34,Private,160261,HS-grad,9,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Male,14084,0,35,China,1
78,Self-emp-inc,385242,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,9386,0,,?,1
28,Private,403671,HS-grad,9,Never-married,Other-service,Other-relative,White,Male,0,0,40,Mexico,0
28,Private,194472,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
26,Private,168236,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
28,Private,67218,7th-8th,4,Married-civ-spouse,Sales,Other-relative,White,Male,0,0,40,United-States,0
42,Private,240628,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,1
45,Private,310260,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,1
31,Private,113364,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,1
26,Private,66692,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,1
20,Private,187592,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,1
37,Local-gov,247750,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,40,United-States,0
62.3918587,Self-emp-inc,204085.0256,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.674728546,-0.159565282,45.75783498,United-States,1
52,Private,235307,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
-37.53843273,Private,309096.1253,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,1.466540859,-1.11158025,39.67756979,United-States,0
49,Private,116927,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,0
21,Private,296158,?,,Married-civ-spouse,Other-service,Husband,White,Male,0,0,25,United-States,0
60,?,174073,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,0
44,Private,429832,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
22,?,157332,Some-college,10,Never-married,?,Own-child,White,Female,0,0,40,United-States,1
60,Local-gov,202473,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,,?,0
21,Private,321666,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,594,0,40,United-States,0
34,Federal-gov,96483,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,0,60,United-States,0
56.89356222,Local-gov,55538.89904,Doctorate,16,Married-civ-spouse,Protective-serv,Husband,White,Male,0.096058642,0.349797727,47.03149202,United-States,1
31622.05166,Self-emp-not-inc,37847.27492,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,-0.067866231,-0.236487649,66.83296711,United-States,1
45,Private,160440,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,1
22,Private,211013,HS-grad,9,Separated,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,0
51,Federal-gov,282680,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,70,United-States,1
,Private,93034,HS-grad,9,Never-married,Machine-op-inspct,?,Asian-Pac-Islander,Male,0,0,40,Cambodia,0
52,Local-gov,512103,Some-college,10,Divorced,Transport-moving,Not-in-family,White,Female,0,0,40,United-States,0
31,Private,374833,1st-4th,2,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,0
30,Private,182771,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,1
26,Private,164488,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United-States,1
50,Private,306790,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
26,Private,157708,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
26,Private,71009,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Philippines,0
48,Private,207277,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,1
39,Local-gov,236391,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,0
73.73810219,Private,124386.9441,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,White,Male,-0.960298277,-1.244889719,45.00849052,United-States,1
23,Private,183358,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Puerto-Rico,0
27,Private,181291,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,35,Italy,1
22,Private,201799,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0
41,Private,117747,Bachelors,13,Divorced,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,40,Vietnam,0
22.53308272,State-gov,378353.382,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Female,0.03480754,-0.802199408,29.6755644,United-States,0
68,Private,236943,9th,5,Divorced,Farming-fishing,Not-in-family,Black,Male,0,0,20,United-States,0
20,Private,,HS-grad,9,Never-married,Handlers-cleaners,?,White,Male,0,0,40,United-States,0
23,Private,40060,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,?,0,,40,United-States,0
39,Private,322143,12th,,Married-civ-spouse,Transport-moving,?,White,Male,15024,0,70,United-States,1
25,Local-gov,44216,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0,0,35,United-States,0
32,Private,270335,Bachelors,13,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,0,0,40,Philippines,1
72.73544327,?,72126.67662,HS-grad,9,Divorced,?,Unmarried,White,Female,1.191737836,-0.124522424,17.8917169,United-States,0
30,Private,95299,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,0,0,40,Vietnam,1
35.36239315,Private,216186.62,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,118217.005,-0.484272962,32.15306299,United-States,1
49,Self-emp-not-inc,43479,Doctorate,16,Divorced,Prof-specialty,Unmarried,White,Male,0,0,63,Canada,1
46,Private,93557,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
34,State-gov,103371,Assoc-voc,11,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
61,Private,175999,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
47,Self-emp-not-inc,315110,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,20,United-States,0
74,State-gov,88638,Doctorate,16,Never-married,Prof-specialty,Other-relative,White,Female,0,3683,20,United-States,0
34,Private,126853,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,Taiwan,1
41.71421399,State-gov,225739.0401,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.299647688,0.932434871,36.2640974,United-States,1
36,?,531055,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,,48,United-States,1
27,Private,169117,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,1887,40,United-States,0
29,Federal-gov,244473,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,40,United-States,1
52,Private,146015,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,,40,United-States,0
62,Federal-gov,223163,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,1
34,Private,88215,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,40,China,1
72,?,402306,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,32,Canada,0
29.31293671,Private,257461.4415,HS-grad,9,Divorced,Craft-repair,Other-relative,Black,Female,-0.388346938,-0.305619111,56.97027127,United-States,0
66,Private,,?,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
45,?,187439,HS-grad,9,Never-married,?,Not-in-family,White,Male,0,0,2,United-States,1
68,Private,168794,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,10,United-States,0
36,Private,48520,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,0
51,Private,29036,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
56,Self-emp-not-inc,52822,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,United-States,1
37,Private,95654,10th,6,Divorced,Exec-managerial,Unmarried,White,Female,0,0,35,United-States,0
26,Private,164938,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
20.49062792,Private,439634.301,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,92190.94124,0.324057028,29.67077749,United-States,1
17.01115235,Private,145932.274,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0.924196774,-0.753516842,25.48489249,United-States,0
31,Private,215297,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,?,Male,0,,45,United-States,0
32,State-gov,181119,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
26,Private,141876,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,3103,0,45,United-States,1
22,Private,140001,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,0
35,Private,342768,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
21,Private,165107,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,,?,0
39,Private,187921,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,99,United-States,0
51,Self-emp-not-inc,176240,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
27,Self-emp-not-inc,66473,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,0
44.89779343,Self-emp-inc,255396.4446,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.462483624,1844.185345,62.23930702,United-States,1
,Private,140764,Bachelors,13,Never-married,Sales,Own-child,?,Female,0,1590,40,United-States,0
63,Private,50349,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0,34,United-States,0
60,Private,121832,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,,40,?,1
47,Private,114459,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
31,Private,179673,HS-grad,,Married-civ-spouse,Machine-op-inspct,Husband,?,Male,0,0,40,United-States,1
46,Private,185385,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,65,United-States,1
45,Private,99971,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,0
42,Private,102606,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,0
40,Private,173321,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,32,United-States,0
32,Private,210541,Bachelors,13,Divorced,Sales,Unmarried,White,Female,0,0,30,United-States,0
36,Self-emp-not-inc,127740,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,99,United-States,0
41,State-gov,116520,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
43,Private,191982,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,0,0,55,United-States,0
44,Federal-gov,201435,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,1
45,Self-emp-inc,145290,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,1
33,Private,473133,Doctorate,16,?,Prof-specialty,Husband,White,Male,15024,0,,United-States,1
47,Self-emp-not-inc,126500,7th-8th,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Puerto-Rico,0
59,?,115389,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,,36,United-States,0
53,Private,117058,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,1
35.94670016,Private,418181.8031,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,1.102927733,1.935320337,52.60359815,United-States,0
30,Private,340917,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,1
30,Private,190385,Bachelors,13,Married-civ-spouse,Other-service,Wife,?,Female,0,,40,United-States,1
42,Private,385591,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,?,0,,50,United-States,1
35,Private,147548,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,1
,Private,186172,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,?,3103,0,40,United-States,1
37,Local-gov,130805,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,99,United-States,1
36,Federal-gov,153066,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
